iter	Passed	Remaining
0	53	53058
1	104	52035
2	152	50838
3	217	54227
4	267	53227
5	332	55017
6	401	57016
7	468	58133
8	534	58835
9	600	59468
10	669	60150
11	735	60573
12	802	60906
13	868	61175
14	929	61014
15	996	61308
16	1065	61601
17	1128	61557
18	1198	61877
19	1263	61927
20	1333	62184
21	1400	62276
22	1449	61570
23	1517	61709
24	1584	61787
25	1650	61832
26	1717	61905
27	1787	62061
28	1843	61729
29	1912	61825
30	1977	61797
31	2040	61727
32	2106	61735
33	2175	61799
34	2234	61602
35	2302	61653
36	2368	61653
37	2435	61645
38	2501	61635
39	2567	61625
40	2632	61575
41	2694	61461
42	2758	61402
43	2823	61355
44	2887	61274
45	2952	61223
46	3015	61143
47	3078	61062
48	3145	61043
49	3211	61009
50	3277	60984
51	3341	60910
52	3403	60822
53	3469	60773
54	3536	60771
55	3602	60725
56	3666	60657
57	3731	60602
58	3794	60524
59	3856	60421
60	3918	60325
61	3982	60252
62	4048	60208
63	4114	60178
64	4179	60122
65	4244	60065
66	4307	59983
67	4369	59885
68	4432	59812
69	4496	59734
70	4559	59653
71	4627	59644
72	4691	59579
73	4755	59512
74	4817	59419
75	4886	59414
76	4951	59356
77	5013	59262
78	5075	59167
79	5137	59082
80	5199	58986
81	5259	58882
82	5320	58777
83	5380	58676
84	5442	58585
85	5504	58497
86	5564	58398
87	5629	58340
88	5689	58236
89	5750	58146
90	5810	58041
91	5871	57949
92	5933	57862
93	5996	57791
94	6057	57705
95	6118	57619
96	6180	57534
97	6242	57460
98	6303	57368
99	6362	57260
100	6423	57174
101	6484	57087
102	6545	57005
103	6604	56902
104	6667	56833
105	6727	56735
106	6786	56636
107	6845	56535
108	6904	56437
109	6965	56354
110	7025	56271
111	7087	56194
112	7147	56108
113	7209	56032
114	7270	55948
115	7331	55867
116	7390	55773
117	7449	55682
118	7509	55598
119	7572	55530
120	7634	55459
121	7695	55381
122	7754	55289
123	7814	55207
124	7875	55131
125	7937	55061
126	7997	54973
127	8055	54876
128	8114	54785
129	8174	54704
130	8231	54602
131	8290	54519
132	8350	54432
133	8411	54360
134	8470	54271
135	8529	54187
136	8586	54091
137	8645	54001
138	8707	53936
139	8766	53850
140	8825	53766
141	8886	53692
142	8944	53605
143	9005	53531
144	9063	53445
145	9122	53357
146	9181	53275
147	9239	53187
148	9297	53101
149	9356	53021
150	9415	52939
